Model,Resolution,Image Size,Conf Thresh,Min FPS,Max FPS,Avg FPS,Min Conf,Max Conf,Avg Conf,Precision,Recall,Accuracy,F1 Score,Remark

yolov8n.pt,416x312,160,0.3,0.98,15.74,13.97,0.3,0.87,0.59,0.87,0.91,0.8,0.89
yolov8n.pt,416x312,160,0.3,0.99,15.76,14.06,0.3,0.84,0.55,0.88,0.86,0.77,0.87
yolov8n.pt,416x312,160,0.3,1.01,15.76,14.05,0.31,0.84,0.55,0.55,0.85,0.5,0.67
yolov8n.pt,416x312,160,0.3,1.01,15.76,14.05,0.3,0.9,0.62,0.77,0.82,0.66,0.79
yolov8n.pt,416x312,160,0.3,0.98,15.75,14.04,0.3,0.78,0.49,0.61,0.99,0.6,0.75
yolov8n.pt,416x312,160,0.3,0.99,15.76,14.05,0.3,0.87,0.57,0.73,0.95,0.7,0.83
yolov8n.pt,416x312,160,0.3,0.98,15.76,14.05,0.3,0.88,0.56,0.62,0.95,0.6,0.75
yolov8n.pt,416x312,160,0.3,1.01,15.76,14.06,0.3,0.92,0.58,0.75,0.88,0.68,0.81
yolov8n.pt,416x312,160,0.3,1.01,15.79,14.07,0.3,0.87,0.6,0.63,0.85,0.57,0.72
yolov8n.pt,416x312,160,0.3,1.01,15.76,14.07,0.3,0.89,0.64,0.95,0.77,0.75,0.85
yolov8n.pt,416x312,160,0.3,1.01,15.84,14.05,0.3,0.93,0.63,0.76,0.87,0.68,0.81
yolov8n.pt,416x312,160,0.3,0.99,15.72,13.95,0.3,0.86,0.55,0.59,0.93,0.56,0.72
yolov8n.pt,416x312,160,0.3,0.97,15.82,13.97,0.3,0.86,0.64,0.84,0.96,0.82,0.9
yolov8n.pt,320x240,192,0.3,0.98,15.9,14.09,0.31,0.88,0.67,0.76,0.98,0.75,0.86
yolov8n.pt,320x240,160,0.3,0.99,16.23,14.21,0.3,0.86,0.49,0.77,0.87,0.7,0.82
yolov8n.pt,320x240,128,0.3,1.01,15.78,14.09,0.3,0.78,0.48,0.84,0.61,0.55,0.71
